AI0,AI2,AO0
-0.0034712,0.2312824,0.0
-0.0028224,0.2306336,0.0
-0.0039254,0.2342672,0.0
-0.0027574,0.2401716,0.0
-0.0022382,0.2441298,0.0
-0.003536,0.2383548,0.0
-0.003601,0.2343972,0.0
-0.0049634,0.2301146,0.0
-0.0030818,0.2315422,0.0
-0.0030168,0.239458,0.0
-0.0032116,0.2430268,0.0
-0.0029518,0.245557,0.0
-0.0046388,0.2441946,0.0
-0.0035358,0.2478934,0.0
-0.003082,0.26074,0.0
-0.0050932,0.2781944,0.0
-0.0038604,0.3018124,0.0
-0.0053528,0.3224456,0.0
-0.0032764,0.3374988,0.0
-0.003406,0.3475562,0.0
-0.0045738,0.3591706,0.0
-0.0019786,0.3788956,0.0
-0.0039902,0.4034872,0.0
-0.0030818,0.4263914,0.0
-0.0030818,0.445208,0.0
-0.0052878,0.454811,0.0
-0.0038602,0.4651278,0.0
-0.004055,0.4749904,0.0
-0.004574,0.4899784,0.0
-0.0030168,0.5139858,0.0
-0.0045742,0.5330622,0.0
-0.0030168,0.5428594,0.0
-0.0032764,0.5486994,0.0
-0.0039254,0.5509706,0.0
-0.0023032,0.5628446,0.0
-0.0032116,0.5792602,0.0
-0.0032118,0.595287,0.0
-0.0031468,0.6135194,0.0
-0.00399,0.61884,0.0
-0.0031468,0.620787,0.0
-0.0048336,0.6257178,0.0
-0.0034712,0.6348666,0.0
-0.0037956,0.6494006,0.0
-0.0050932,0.6648434,0.0
-0.0019788,0.6754844,0.0
-0.0039902,0.6768474,0.0
-0.0037304,0.6769118,0.0
-0.0020436,0.6822976,0.0
-0.0043148,0.6897592,0.0
-0.0023682,0.7045528,0.0
-0.0022382,0.7176596,0.0
-0.0038602,0.723629,0.0
-0.001979,0.7255758,0.0
-0.00412,0.7224614,0.0
-0.0031464,0.7274574,0.0
-0.001784,0.7397206,0.0
-0.004574,0.7512052,0.0
-0.0028874,0.7637928,0.0
-0.003406,0.766518,0.0
-0.0041198,0.7616516,0.0
-0.0034064,0.7623006,0.0
-0.004639,0.7666478,0.0
-0.003536,0.777743,0.0
-0.0036658,0.7931208,0.0
-0.0037306,0.8006476,0.0
-0.0024328,0.7990902,0.0
-0.0050932,0.7951324,0.0
-0.0027574,0.794094,0.0
-0.0037956,0.8009072,0.0
-0.0038604,0.8129106,0.0
-0.0019138,0.823617,0.0
-0.0031466,0.8291318,0.0
-0.0020436,0.8273802,0.0
-0.0019138,0.8227084,0.0
-0.0043796,0.8239412,0.0
-0.0017192,0.8317924,0.0
-0.0036656,0.8430822,0.0
-0.0038604,0.850544,0.0
-0.002433,0.85567,0.0
-0.0034062,0.8506736,0.0
-0.0030168,0.8476242,0.0
-0.002952,0.8518416,0.0
-0.004055,0.8575516,0.0
-0.0036658,0.8681926,0.0
-0.00412,0.8761086,0.0
-0.0039254,0.8722154,0.0
-0.0037306,0.8707232,0.0
-0.0047686,0.8694904,0.0
-0.0033416,0.8717614,0.0
-0.0048986,0.882143,0.0
-0.0038602,0.8918108,0.0
-0.0021084,0.8969366,0.0
-0.0044444,0.8901238,0.0
-0.003406,0.8849328,0.0
-0.0032116,0.8881126,0.0
-0.0033414,0.8924596,0.0
-0.002952,0.9042038,0.0
-0.0042496,0.913677,0.0
-0.0025628,0.9144552,0.0
-0.0015894,0.9077724,0.0
-0.0037956,0.9016734,0.0
-0.0020436,0.9053068,0.0
-0.0027576,0.9151044,0.0
-0.0034064,0.9215282,0.0
-0.0024978,0.9286652,0.0
-0.0043794,0.9287304,0.0
-0.0015892,0.9249022,0.0
-0.0021734,0.9212038,0.0
-0.0042498,0.92049,0.0
-0.002822,0.9315202,0.0
-0.0043794,0.9393066,0.0
-0.0031468,0.9420316,0.0
-0.0037306,0.94015,0.0
-0.0042496,0.9361274,0.0
-0.0022382,0.9330126,0.0
-0.0050282,0.9367112,0.0
-0.00412,0.9453406,0.0
-0.0032116,0.9553978,0.0
-0.0054824,0.9535814,0.0
-0.003536,0.9493636,0.0
-0.003536,0.9463788,0.0
-0.0041848,0.944562,0.0
-0.0027574,0.9550088,0.0
-0.0043144,0.9640926,0.0
-0.0029518,0.9677262,0.0
-0.0037308,0.9661692,0.0
-0.0035362,0.9588368,0.0
-0.0024332,0.953711,0.0
-0.0039902,0.9583826,0.0
-0.002822,0.9683748,0.0
-0.002433,0.9757068,0.0
-0.0038606,0.9753826,0.0
-0.0019788,0.9720734,0.0
-0.002887,0.965455,0.0
-0.003147,0.9646766,0.0
-0.0011352,0.975058,0.0
-0.0031468,0.9829738,0.0
-0.0019786,0.9866724,0.0
-0.0029522,0.9836878,0.0
-0.00399,0.9771346,0.0
-0.0024978,0.9776534,0.0
-0.003406,0.9773292,0.0
-0.0036012,0.984531,0.0
-0.0017192,0.9945234,0.0
-0.0039254,0.9943938,0.0
-0.003471,0.9920578,0.0
-0.0037956,0.9863478,0.0
-0.0037306,0.9825848,0.0
-0.0031466,0.9897868,0.0
-0.0041848,0.9963402,0.0
-0.0027574,1.0018554,0.0
-0.0037306,1.0049698,0.0
-0.0039252,1.0000386,0.0
-0.0034712,0.9937448,0.0
-0.0054822,0.9933554,0.0
-0.002952,0.9984814,0.0
-0.003601,1.005554,0.0
-0.0047688,1.011199,0.0
-0.0033412,1.0078896,0.0
-0.0059368,1.0036074,0.0
-0.0030818,1.0018556,0.0
-0.0028872,1.0027638,0.0
-0.005158,1.0071762,0.0
-0.0013946,1.0150922,0.0
-0.0026274,1.0143784,0.0
-0.0048986,1.0113938,0.0
-0.0026276,1.0097716,0.0
-0.0047686,1.003348,0.0
-0.0030168,1.0091224,0.0
-0.0028222,1.0197636,0.0
-0.0036658,1.0215806,0.0
-0.002433,1.0232676,0.0
-0.0029518,1.0171036,0.0
-0.0033414,1.0097716,0.0
-0.0028226,1.0104852,0.0
-0.003471,1.0137942,0.0
-0.0023032,1.0251494,0.0
-0.0030816,1.0320272,0.0
-0.002368,1.0290424,0.0
-0.0022384,1.0256682,0.0
-0.0033412,1.0190498,0.0
-0.0020436,1.0188554,0.0
-0.0028224,1.0255388,0.0
-0.0027572,1.030859,0.0
-0.0015896,1.036504,0.0
-0.0034712,1.0320272,0.0
-0.0025626,1.0256684,0.0
-0.0028872,1.0233976,0.0
-0.0034064,1.0248248,0.0
-0.0020438,1.0362446,0.0
-0.0040552,1.0407866,0.0
-0.0029518,1.0414354,0.0
-0.0024978,1.0368934,0.0
-0.0043794,1.0287828,0.0
-0.0030168,1.0276798,0.0
-0.0038604,1.035401,0.0
-0.003017,1.042149,0.0
-0.0033414,1.0463016,0.0
-0.0050282,1.0451986,0.0
-0.0028224,1.0361796,0.0
-0.0024976,1.0266416,0.0
