case_id,box_name,n_peaks,model_kind,has_voigt,use_common_sigma,bgsub,n_free,tags,adapter,trial,perturb_init,success,converged,aborted,elapsed_s,n_eval,chi2,redchi,r2,ref_chi2,ref_r2,ref_elapsed_s,chi2_ratio,speed_ratio,p_max_abs_diff,amp_max_rel_diff,error
full_run_M3_00001_6ab33e,M3,4,gmm,False,True,1,9,"n_peaks=4,gmm=True,merid_bg=True,voigt=False,bgsub=1",lmfit-trf,0,0.05,True,True,False,0.02723437361419201,11,146386.92378107348,100.1278548434155,0.997771168725377,146386.9237806158,0.997771168725384,0.029385829344391823,1.0000000000031266,0.9267859448516667,1.0426575158817286e-05,1.710639124206265e-06,
full_run_M3_00001_6ab33e,M3,4,gmm,False,True,1,9,"n_peaks=4,gmm=True,merid_bg=True,voigt=False,bgsub=1",lmfit-trf,1,0.05,True,True,False,0.026767191477119923,11,146386.9237822665,100.12785484423154,0.9977711687253588,146386.9237806158,0.997771168725384,0.029385829344391823,1.0000000000112763,0.9108877331116858,3.272202206971997e-06,3.1414024508266345e-07,
full_run_M3_00001_6ab33e,M3,4,gmm,False,True,1,9,"n_peaks=4,gmm=True,merid_bg=True,voigt=False,bgsub=1",lmfit-trf,2,0.05,True,True,False,0.026119548827409744,11,146386.92379417922,100.12785485237977,0.9977711687251775,146386.9237806158,0.997771168725384,0.029385829344391823,1.0000000000926548,0.8888484487300871,2.23340231855218e-05,3.5415537755212643e-06,
full_run_M3_00001_6ab33e,M3,4,gmm,False,True,1,9,"n_peaks=4,gmm=True,merid_bg=True,voigt=False,bgsub=1",lmfit-trf,3,0.05,True,True,False,0.026928696781396866,11,146386.92379659147,100.12785485402974,0.9977711687251407,146386.9237806158,0.997771168725384,0.029385829344391823,1.0000000001091331,0.9163837598660834,1.4086180385675107e-05,1.658448064775435e-06,
full_run_M3_00001_6ab33e,M3,4,gmm,False,True,1,9,"n_peaks=4,gmm=True,merid_bg=True,voigt=False,bgsub=1",lmfit-trf,4,0.05,True,True,False,0.02433757297694683,10,146386.92378507918,100.12785484615539,0.997771168725316,146386.9237806158,0.997771168725384,0.029385829344391823,1.0000000000304903,0.8282077967485225,1.5356637447894173e-05,2.537973335152519e-06,
full_run_M3_00001_6ab33e,M3,4,gmm,False,True,1,9,"n_peaks=4,gmm=True,merid_bg=True,voigt=False,bgsub=1",lmfit-trf,5,0.05,True,True,False,0.027008427307009697,11,146386.92378298254,100.1278548447213,0.9977711687253479,146386.9237806158,0.997771168725384,0.029385829344391823,1.0000000000161677,0.9190969902697048,1.0844206428828329e-05,1.4284693914884405e-06,
full_run_M3_00001_6ab33e,M3,4,gmm,False,True,1,9,"n_peaks=4,gmm=True,merid_bg=True,voigt=False,bgsub=1",lmfit-trf,6,0.05,True,True,False,0.024212826043367386,10,146386.9237866907,100.12785484725765,0.9977711687252915,146386.9237806158,0.997771168725384,0.029385829344391823,1.000000000041499,0.8239626576334255,1.098687130252074e-05,7.704397786689856e-07,
full_run_M3_00001_6ab33e,M3,4,gmm,False,True,1,9,"n_peaks=4,gmm=True,merid_bg=True,voigt=False,bgsub=1",lmfit-trf,7,0.05,True,True,False,0.02879202738404274,12,146386.9237811639,100.12785484347737,0.9977711687253755,146386.9237806158,0.997771168725384,0.029385829344391823,1.0000000000037443,0.9797929146940204,1.0425303401007113e-05,1.764251754489681e-06,
full_run_M3_00001_6ab33e,M3,4,gmm,False,True,1,9,"n_peaks=4,gmm=True,merid_bg=True,voigt=False,bgsub=1",lmfit-trf,8,0.05,True,True,False,0.02409609593451023,10,146386.9237850656,100.12785484614609,0.9977711687253161,146386.9237806158,0.997771168725384,0.029385829344391823,1.0000000000303975,0.8199903311256683,1.5350873525221687e-05,2.532623126663179e-06,
full_run_M3_00001_6ab33e,M3,4,gmm,False,True,1,9,"n_peaks=4,gmm=True,merid_bg=True,voigt=False,bgsub=1",lmfit-trf,9,0.05,True,True,False,0.026955236680805683,11,146386.92378772172,100.12785484796288,0.9977711687252757,146386.9237806158,0.997771168725384,0.029385829344391823,1.000000000048542,0.9172869128483518,1.7358908053211053e-05,2.636379545240393e-06,
full_run_M6_00002_952a4b,M6,8,gmm,False,True,1,17,"n_peaks=8,gmm=True,merid_bg=True,voigt=False,bgsub=1",lmfit-baseline-leastsq,0,0.05,True,True,False,0.2163929445669055,639,776.1714267262568,0.4614574475185831,0.9960318970387212,776.1714273219775,0.9960318970356756,0.18560193851590157,0.9999999992324882,1.1658980843476798,0.0003229295814435318,2.291559200383057e-06,
full_run_M6_00002_952a4b,M6,8,gmm,False,True,1,17,"n_peaks=8,gmm=True,merid_bg=True,voigt=False,bgsub=1",lmfit-baseline-leastsq,1,0.05,True,True,False,0.2469663368538022,730,776.1714267160694,0.4614574475125264,0.9960318970387733,776.1714273219775,0.9960318970356756,0.18560193851590157,0.999999999219363,1.3306236929882238,0.00035579859797962854,6.9872763311638795e-06,
full_run_M6_00002_952a4b,M6,8,gmm,False,True,1,17,"n_peaks=8,gmm=True,merid_bg=True,voigt=False,bgsub=1",lmfit-baseline-leastsq,2,0.05,True,True,False,0.2405503559857607,710,776.171427051808,0.46145744771213315,0.9960318970370569,776.1714273219775,0.9960318970356756,0.18560193851590157,0.9999999996519203,1.2960551916064786,3.982889995768346e-05,3.6020823473420495e-06,
full_run_M6_00002_952a4b,M6,8,gmm,False,True,1,17,"n_peaks=8,gmm=True,merid_bg=True,voigt=False,bgsub=1",lmfit-baseline-leastsq,3,0.05,True,True,False,0.14521050546318293,424,776.1714283098122,0.4614574484600548,0.9960318970306254,776.1714273219775,0.9960318970356756,0.18560193851590157,1.0000000012727017,0.7823760173212949,0.00010970326309234224,4.757777367874565e-06,
full_run_M6_00002_952a4b,M6,8,gmm,False,True,1,17,"n_peaks=8,gmm=True,merid_bg=True,voigt=False,bgsub=1",lmfit-baseline-leastsq,4,0.05,True,True,False,0.25254982337355614,746,776.1714271988974,0.46145744779958225,0.9960318970363049,776.1714273219775,0.9960318970356756,0.18560193851590157,0.9999999998414266,1.3607068190827045,0.0004132868388069255,7.405168962080268e-06,
full_run_M6_00002_952a4b,M6,8,gmm,False,True,1,17,"n_peaks=8,gmm=True,merid_bg=True,voigt=False,bgsub=1",lmfit-baseline-leastsq,5,0.05,True,True,False,0.20458945911377668,601,776.1714255429847,0.461457446815092,0.9960318970447706,776.1714273219775,0.9960318970356756,0.18560193851590157,0.9999999977079899,1.102302382990727,0.0001823600857733254,1.305690173025359e-06,
full_run_M6_00002_952a4b,M6,8,gmm,False,True,1,17,"n_peaks=8,gmm=True,merid_bg=True,voigt=False,bgsub=1",lmfit-baseline-leastsq,6,0.05,True,True,False,0.1695911791175604,496,776.1714257439316,0.46145744693456103,0.9960318970437433,776.1714273219775,0.9960318970356756,0.18560193851590157,0.9999999979668849,0.9137360335438013,0.00027221204163652146,5.815631806866881e-06,
full_run_M6_00002_952a4b,M6,8,gmm,False,True,1,17,"n_peaks=8,gmm=True,merid_bg=True,voigt=False,bgsub=1",lmfit-baseline-leastsq,7,0.05,True,True,False,0.17116460110992193,511,776.1714271253013,0.4614574477558272,0.9960318970366812,776.1714273219775,0.9960318970356756,0.18560193851590157,0.9999999997466072,0.92221343418381,0.00011996687646842474,8.486459565966542e-07,
full_run_M6_00002_952a4b,M6,8,gmm,False,True,1,17,"n_peaks=8,gmm=True,merid_bg=True,voigt=False,bgsub=1",lmfit-baseline-leastsq,8,0.05,True,True,False,0.1883385218679905,565,776.171426931764,0.4614574476407634,0.9960318970376706,776.1714273219775,0.9960318970356756,0.18560193851590157,0.9999999994972586,1.0147443683722865,0.00016998865896766802,3.3489841447328916e-06,
full_run_M6_00002_952a4b,M6,8,gmm,False,True,1,17,"n_peaks=8,gmm=True,merid_bg=True,voigt=False,bgsub=1",lmfit-baseline-leastsq,9,0.05,True,True,False,0.2279335642233491,673,776.1714275063994,0.4614574479824015,0.9960318970347328,776.1714273219775,0.9960318970356756,0.18560193851590157,1.0000000002376046,1.2280774977133158,0.00011275547603872837,4.397912682554418e-06,
