adapter,case_id,param_name,n_trials,ref_value,cand_mean,cand_std,cand_min,cand_max,diff_mean,diff_std,abs_diff_mean,abs_diff_max,rel_diff_mean,rel_diff_std
lmfit-baseline-leastsq,full_run_m6_00004_407a65,p_2,10,-547.0,-546.9999999999309,7.439484013452975e-11,-546.9999999999926,-546.9999999997717,6.916707206983119e-11,7.439558717448938e-11,6.916707206983119e-11,2.28283170145005e-10,-1.2644802937811918e-13,1.3600655790583068e-13
lmfit-baseline-leastsq,full_run_m6_00004_407a65,p_3,10,546.0551225708704,546.0551022166404,4.146379449465491e-05,546.0550429946196,546.0551595601459,-2.0354229945951374e-05,4.146379449864522e-05,3.4136328372369464e-05,7.957625075505348e-05,-3.7275046244639304e-08,7.593334955531672e-08
lmfit-baseline-leastsq,full_run_m6_00004_407a65,p_4,10,551.5695454696588,551.569545398406,1.89048153443642e-07,551.5695450607057,551.5695456691366,-7.125269121388556e-08,1.8904815661533452e-07,1.6382379044443952e-07,4.0895315578381997e-07,-1.2918169938699975e-10,3.42745820845422e-10
lmfit-baseline-leastsq,full_run_m6_00004_407a65,p_5,10,556.1235714486181,556.123574524988,7.5242741414080465e-06,556.1235639516327,556.1235851080054,3.0763699896851905e-06,7.524274160107409e-06,6.359530675581482e-06,1.3659387263942335e-05,5.531810100535228e-09,1.3529860172097738e-08
lmfit-trf,full_run_M3_00001_6ab33e,amplitude0,10,1793.1203882904592,1793.1216964471278,0.002153267566065571,1793.1174646610477,1793.125407217529,0.001308156668619631,0.0021532675660596167,0.0019957632601290244,0.005018927069841084,7.295420191316952e-07,1.2008494131911116e-06
lmfit-trf,full_run_M3_00001_6ab33e,amplitude1,10,14992.989335048138,14992.987307542619,0.0033330691395018074,14992.981190154009,14992.993089787971,-0.0020275055214369784,0.0033330691396238274,0.003049840471248899,0.008144894129145541,-1.352302383552965e-07,2.2230851134085234e-07
lmfit-trf,full_run_M3_00001_6ab33e,amplitude2,10,15002.634368252506,15002.631515757788,0.0030766829666258816,15002.625158741243,15002.635822911217,-0.0028524947174446424,0.0030766829660426828,0.003304636315078824,0.009209511263179593,-1.9013292248732572e-07,2.0507618132408383e-07
lmfit-trf,full_run_M3_00001_6ab33e,amplitude3,10,1794.2474830009126,1794.2493651626755,0.0019387668679014254,1794.2460663690815,1794.2532436482504,0.0018821617631147093,0.0019387668679842732,0.002187955581985079,0.005760647337865521,1.0489978561746445e-06,1.080545959435679e-06
lmfit-trf,full_run_M3_00001_6ab33e,common_sigma,10,2.0281922097858196,2.0281919720816353,4.5962056505748767e-07,2.028191095331865,2.0281926761989966,-2.377041846468586e-07,4.596205650119907e-07,3.9068495376604063e-07,1.1144539544538645e-06,-1.1720002842923875e-07,2.2661588127316954e-07
lmfit-trf,full_run_M3_00001_6ab33e,p_0,10,-300.7812495426557,-300.78124523511053,8.868665933145006e-06,-300.78126632906975,-300.78123464814263,4.3075451912955035e-06,8.868665947155126e-06,8.142712420067256e-06,1.6786414050784515e-05,-1.4321189229199683e-08,2.9485434882128197e-08
lmfit-trf,full_run_M3_00001_6ab33e,p_1,10,-295.589199387215,-295.58919900449473,7.387440491715578e-07,-295.589200811516,-295.5891982005796,3.8272024767138645e-07,7.387440543077167e-07,6.997365630923014e-07,1.4243009900383186e-06,-1.2947707442112316e-09,2.499225465068428e-09
lmfit-trf,full_run_M3_00001_6ab33e,p_2,10,294.8530579885017,294.85305739923376,5.964340040256699e-07,294.8530565410283,294.85305884255297,-5.892679098451481e-07,5.964340194175462e-07,7.600781657401967e-07,1.4474733802671835e-06,-1.998513815203937e-09,2.0228178180902745e-09
lmfit-trf,full_run_M3_00001_6ab33e,p_3,10,300.03170797145725,300.0317004693032,6.752079396846988e-06,300.0316890523377,300.031715671137,-7.502154068106392e-06,6.75207937453147e-06,9.042090022148841e-06,1.8919119554539066e-05,-2.5004537416492297e-08,2.2504552669392567e-08
lmfit-trf,full_run_M6_00002_952a4b,amplitude0,10,43.181502951977485,43.18152817405063,5.643610340618747e-05,43.18139795498735,43.18159466955198,2.522207313973013e-05,5.6436103406569934e-05,4.622147116748465e-05,0.00010499699013877262,5.840943787385031e-07,1.3069508828660506e-06
lmfit-trf,full_run_M6_00002_952a4b,amplitude1,10,234.4054566645264,234.4060661504559,0.0013310300407869799,234.40304706300915,234.40756214314368,0.0006094859294648814,0.001331030040787894,0.0011967876541859822,0.0024096015172574425,2.600135415521312e-06,5.678323618092312e-06
lmfit-trf,full_run_M6_00002_952a4b,amplitude2,10,679.4201462092967,679.4185172313558,0.002613238587359226,679.4137451036216,679.4227303957127,-0.001628977940868026,0.002613238587350875,0.002252483560755536,0.006401105675081453,-2.3976002918909855e-06,3.846277744236717e-06
lmfit-trf,full_run_M6_00002_952a4b,amplitude3,10,34.330164023774124,34.32914915874614,0.0021525511544611188,34.32448969389556,34.330834281217754,-0.001014865027984513,0.0021525511544610637,0.0012574363963594238,0.005674329878566198,-2.956190443138298e-05,6.270145266333103e-05
lmfit-trf,full_run_M6_00002_952a4b,amplitude4,10,31.02363434337704,31.022181748464725,0.0034466577950181226,31.01274515864758,31.023886397931605,-0.001452594912313998,0.003446657795018781,0.0015868599459651022,0.010889184729460766,-4.682220323500234e-05,0.00011109780875026902
lmfit-trf,full_run_M6_00002_952a4b,amplitude5,10,680.0689620938707,680.0670245526561,0.0042590013589307845,680.0585474496995,680.0714947211648,-0.0019375412145450355,0.004259001358930251,0.0030058508781053207,0.010414644171191867,-2.8490363809274896e-06,6.262602171722662e-06
lmfit-trf,full_run_M6_00002_952a4b,amplitude6,10,227.27679158249316,227.2776494762099,0.002265879904495094,227.27405411869492,227.28184833554255,0.0008578937167413869,0.0022658799045005727,0.0016762163134188767,0.005056753049387908,3.7746648514703397e-06,9.969693292146556e-06
lmfit-trf,full_run_M6_00002_952a4b,amplitude7,10,45.288419583539245,45.28847902025134,8.399685082171312e-05,45.28840152157157,45.28866580461484,5.943671209678314e-05,8.399685082264312e-05,6.304910563130761e-05,0.0002462210755922456,1.3124042005295833e-06,1.8547092522781043e-06
lmfit-trf,full_run_M6_00002_952a4b,common_sigma,10,1.6956863470323735,1.6956843772555676,6.71615831017573e-06,1.6956718525668093,1.6956933218543135,-1.9697768059989684e-06,6.716158310149898e-06,4.732314125122095e-06,1.4494465564229841e-05,-1.1616398335967506e-06,3.960731488994924e-06
lmfit-trf,full_run_M6_00002_952a4b,p_0,10,-601.3983372518763,-601.3983259573693,1.6431436115865063e-05,-601.3983484199711,-601.3982919466761,1.1294507112324937e-05,1.6431436114563295e-05,1.3902465957471577e-05,4.530520027401508e-05,-1.8780409609936443e-08,2.7322051121138226e-08
lmfit-trf,full_run_M6_00002_952a4b,p_1,10,-594.8325146268769,-594.8325006702281,1.7893636322831567e-05,-594.8325318916995,-594.8324678209797,1.3956648820112605e-05,1.7893636313173918e-05,1.781246386372004e-05,4.6805897227386595e-05,-2.3463157236566413e-08,3.008180600954226e-08
lmfit-trf,full_run_M6_00002_952a4b,p_2,10,-590.7091073679618,-590.7091028790755,5.033806893405709e-06,-590.7091114304056,-590.7090943452052,4.488886236231337e-06,5.0338068890981015e-06,5.435281639165623e-06,1.3022756547798053e-05,-7.59914851530322e-09,8.521634128052245e-09
lmfit-trf,full_run_M6_00002_952a4b,p_3,10,-584.702716759828,-584.7026218730489,0.00012415890082567856,-584.7029155860473,-584.7024838370538,9.488677916351662e-05,0.00012415890081790047,0.0001346520230185888,0.000232922774216604,-1.62282090443052e-07,2.123453462059077e-07
lmfit-trf,full_run_M6_00002_952a4b,p_4,10,583.8415249245422,583.8413761115526,0.00012317128954971433,583.8412346554229,583.8416431120766,-0.0001488129896756618,0.00012317128955707682,0.00017245049654093236,0.0002902691193185092,-2.548859293536802e-07,2.1096699069665503e-07
lmfit-trf,full_run_M6_00002_952a4b,p_5,10,589.989046702336,589.9890411220767,7.136382255824078e-06,589.9890288307636,589.9890499559366,-5.580259312409908e-06,7.136382239295233e-06,6.290704868661124e-06,1.7871572481453768e-05,-9.458242222631101e-09,1.2095787674674768e-08
lmfit-trf,full_run_M6_00002_952a4b,p_6,10,594.1063770341622,594.10636007889,2.9042936549124248e-05,594.106304471847,594.1063921848008,-1.6955272167251677e-05,2.9042936539783548e-05,2.196448988343036e-05,7.25623151538457e-05,-2.8539118283654985e-08,4.8885077929593625e-08
lmfit-trf,full_run_M6_00002_952a4b,p_7,10,600.6816939559114,600.6816836260591,1.9693173246218765e-05,600.681645933711,600.6817011457684,-1.0329852307222609e-05,1.9693173232234417e-05,1.3847449122295074e-05,4.802220041710825e-05,-1.7196882160988237e-08,3.278470682624107e-08
lmfit-trf,full_run_TEST_00005_861239,amplitude0,10,179.061584938955,171.20198055090438,8.280675011787983,163.32416994814199,179.06229568001865,-7.85960438805063,8.280675011787991,7.8597465362633585,15.737414990813022,-0.04389330291435819,0.04624484372017039
lmfit-trf,full_run_TEST_00005_861239,amplitude1,10,185.5245429860817,177.74532159319477,8.196991386849149,169.94823547870868,185.5248452697109,-7.779221392886922,8.196991386849156,7.779281849612761,15.57630750737303,-0.04193095569824704,0.04418278711223724
lmfit-trf,full_run_TEST_00005_861239,bg_amplitude,10,16107.450480849233,14096.610320760621,2575.0481228885737,9894.998985147979,16107.450480937947,-2010.8401600886123,2575.0481228885733,2010.8401601474711,6212.451495701254,-0.12483913344817525,0.15986689674757323
lmfit-trf,full_run_TEST_00005_861239,bg_sigma,10,340.39400836024356,352.01053842887075,12.247369695278529,340.38930014875706,363.66753992398077,11.616530068627208,12.247369695278534,11.618922054093492,23.273531563737208,0.03412671722568418,0.0359799802419465
lmfit-trf,full_run_TEST_00005_861239,center_amplitude1,10,1931.3708639321314,3646.8969002619597,2325.524973849151,1931.2494644571104,7553.178184156148,1715.5260363298282,2325.5249738491516,1715.5531231740672,5621.807320224017,0.8882426821108511,1.2040799710080285
lmfit-trf,full_run_TEST_00005_861239,center_amplitude2,10,751.5016417880728,1650.5220612549456,947.6998182716276,751.258773078114,2549.5950483917095,899.0204194668726,947.6998182716276,899.0944748861635,1798.0934066036366,1.1962986765109433,1.261074847443758
lmfit-trf,full_run_TEST_00005_861239,center_sigma1,10,29.657363741482524,196.62315169754652,175.9980076374903,29.6548600352451,363.6797855095767,166.965787956064,175.9980076374903,166.9666129526005,334.02242176809415,5.629825678757975,5.934378024008834
lmfit-trf,full_run_TEST_00005_861239,center_sigma2,10,13.817944835044244,18.305863599696053,4.730971280290104,13.816475331675043,22.794101453882213,4.487918764651807,4.730971280290104,4.488389271463395,8.976156618837969,0.32478916497551913,0.3423787934289402
